record_number,full_text_id,processed,decision,reason,Key,Publication Year,Author,Title,Publication Title,ISSN,DOI,Issue,Volume,Journal Abbreviation,Country,Language,Rights,Extra,Notes,File Attachments,Link Attachments
46,ft_46,y,Include - Title/Abstract,NA,XH9WDYGL,2017,"Lu, Tingting; Fu, Yingqun; Hou, Yong; Yang, Yu; Liu, Lijuan; Liang, Huijie; Yang, Jun; Jiao, Dan; Ying, Changqing",Hantavirus RNA Prevalence in Myomorph Rodents on Bolshoy Ussuriysky Island at the Sino-Russian Border.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2016.1953,8,17,Vector Borne Zoonotic Dis,China,eng,NA,Place: United States PMID: 28678679,NA,NA,NA
47,ft_47,y,Include - Title/Abstract,NA,33554GE2,2015,"Van Cuong, Nguyen; Carrique-Mas, Juan; Vo Be, Hien; An, Nguyen Ngoc; Tue, Ngo Tri; Anh, Nguyet Lam; Anh, Pham Hong; Phuc, Nguyen The; Baker, Stephen; Voutilainen, Liina; Jääskeläinen, Anne; Huhtamo, Eili; Utriainen, Mira; Sironen, Tarja; Vaheri, Antti; Henttonen, Heikki; Vapalahti, Olli; Chaval, Yannick; Morand, Serge; Bryant, Juliet E.",Rodents and risk in the Mekong Delta of Vietnam: seroprevalence of selected zoonotic viruses in rodents and humans.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2014.1603,1,15,Vector Borne Zoonotic Dis,Vietnam,eng,NA,Place: United States PMID: 25629782 PMCID: PMC4676424,NA,NA,NA
48,ft_48,y,Include - Title/Abstract,NA,ZIVL9XD8,2023,"Cuypers, Laura N.; Gryseels, Sophie; Van Houtte, Natalie; Baird, Stuart J. E.; Sabuni, Christopher A.; Katakweba, Abdul S.; van den Burg, Sebastiaan R. M.; Bryja, Josef; Leirs, Herwig; Goüy de Bellocq, Joëlle",Subspecific rodent taxa as the relevant host taxonomic level for mammarenavirus host specificity.,Virology,1096-0341 0042-6822,10.1016/j.virol.2023.02.014,NA,581,Virology,Tanzania,eng,Copyright © 2023 Elsevier Inc. All rights reserved.,Place: United States PMID: 36958216,NA,NA,NA
49,ft_49,y,Exclude - Full Text,No data,3JNBTSPD,2018,"Kerins, Janna L.; Koske, Sarah E.; Kazmierczak, James; Austin, Connie; Gowdy, Karen; Dibernardo, Antonia","Outbreak of Seoul Virus Among Rats and Rat Owners - United States and Canada, 2017.",MMWR. Morbidity and mortality weekly report,1545-861X 0149-2195,10.15585/mmwr.mm6704a5,4,67,MMWR Morb Mortal Wkly Rep,NA,eng,NA,Place: United States PMID: 29393924 PMCID: PMC5794350,NA,NA,NA
50,ft_50,y,Exclude - Full Text,No data,N852LMY6,2017,"Mariën, Joachim; Borremans, Benny; Gryseels, Sophie; Broecke, Bram Vanden; Becker-Ziaja, Beate; Makundi, Rhodes; Massawe, Apia; Reijniers, Jonas; Leirs, Herwig",Arenavirus Dynamics in Experimentally and Naturally Infected Rodents.,EcoHealth,1612-9210 1612-9202,10.1007/s10393-017-1256-7,3,14,Ecohealth,Tanzania,eng,NA,Place: United States PMID: 28616660,NA,NA,NA
51,ft_51,y,Include - Title/Abstract,NA,AYG7NNJX,2022,"Camp, Jeremy V.; Desvars-Larrive, Amélie; Nowotny, Norbert; Walzer, Chris",Monitoring Urban Zoonotic Virus Activity: Are City Rats a Promising Surveillance Tool for Emerging Viruses?,Viruses,1999-4915,10.3390/v14071516,7,14,Viruses,Austria,eng,NA,Place: Switzerland PMID: 35891496 PMCID: PMC9316102,NA,NA,NA
52,ft_52,y,Include - Title/Abstract,NA,5SVK9ZUN,2023,"Wang, Yingying X. G.; Voutilainen, Liina; Aminikhah, Mahdi; Helle, Heikki; Huitu, Otso; Laakkonen, Juha; Lindén, Andreas; Niemimaa, Jukka; Sane, Jussi; Sironen, Tarja; Vapalahti, Olli; Henttonen, Heikki; Kallio, Eva R.",The impact of wildlife and environmental factors on hantavirus infection in the host and its translation into human risk.,Proceedings. Biological sciences,1471-2954 0962-8452,10.1098/rspb.2022.2470,1996,290,Proc Biol Sci,Finland,eng,NA,Place: England PMID: 37040809 PMCID: PMC10089723,NA,NA,NA
53,ft_53,n,Exclude - Full Text,No wild sampling,C26IYMY8,2021,"Vulin, Johann; Murri, Séverine; Madrières, Sarah; Galan, Maxime; Tatard, Caroline; Piry, Sylvain; Vaccari, Gabriele; D'Agostino, Claudia; Charbonnel, Nathalie; Castel, Guillaume; Marianneau, Philippe",Isolation and Genetic Characterization of Puumala Orthohantavirus Strains from France.,"Pathogens (Basel, Switzerland)",2076-0817,10.3390/pathogens10030349,3,10,Pathogens,France,eng,NA,Place: Switzerland PMID: 33809526 PMCID: PMC7999636,NA,NA,NA
54,ft_54,y,Include - Title/Abstract,NA,DIRR3PFL,2020,"Grzybek, Maciej; Tołkacz, Katarzyna; Sironen, Tarja; Mäki, Sanna; Alsarraf, Mohammed; Behnke-Borowczyk, Jolanta; Biernat, Beata; Nowicka, Joanna; Vaheri, Antti; Henttonen, Heikki; Behnke, Jerzy M.; Bajer, Anna",Zoonotic Viruses in Three Species of Voles from Poland.,Animals : an open access journal from MDPI,2076-2615,10.3390/ani10101820,10,10,Animals (Basel),Poland,eng,NA,Place: Switzerland PMID: 33036253 PMCID: PMC7599905,NA,NA,NA
55,ft_55,n,Exclude - Full Text,"No data, review, check references",CYTRUFHQ,2019,"Milholland, Matthew T.; Castro-Arellano, Iván; Garcia-Peña, Gabriel E.; Mills, James N.",The Ecology and Phylogeny of Hosts Drive the Enzootic Infection Cycles of Hantaviruses.,Viruses,1999-4915,10.3390/v11070671,7,11,Viruses,NA,eng,NA,Place: Switzerland PMID: 31340455 PMCID: PMC6669546,NA,NA,NA
56,ft_56,y,Include - Title/Abstract,NA,8US96PXZ,2016,"Lõhmus, Mare; Verner-Carlsson, Jenny; Borg, Oliva; Albihn, Ann; Lundkvist, Åke","Hantavirus in new geographic regions, Sweden.",Infection ecology & epidemiology,2000-8686,10.3402/iee.v6.31465,NA,6,Infect Ecol Epidemiol,Sweden,eng,NA,Place: United States PMID: 27258208 PMCID: PMC4891966,NA,NA,NA
57,ft_57,y,Include - Title/Abstract,NA,9FX7T64S,2019,"Grzybek, Maciej; Sironen, Tarja; Mäki, Sanna; Tołkacz, Katarzyna; Alsarraf, Mohammed; Strachecka, Aneta; Paleolog, Jerzy; Biernat, Beata; Szczepaniak, Kaludiusz; Behnke-Borowczyk, Jolanta; Vaheri, Antti; Henttonen, Heikki; Behnke, Jerzy M.; Bajer, Anna","Zoonotic Virus Seroprevalence among Bank Voles, Poland, 2002-2010.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid2508.190217,8,25,Emerg Infect Dis,Poland,eng,NA,Place: United States PMID: 31310209 PMCID: PMC6649315,NA,NA,NA
58,ft_58,y,Include - Title/Abstract,NA,ZS3SR8H3,2019,"Polat, Ceylan; Ergünay, Koray; Irmak, Sercan; Erdin, Mert; Brinkmann, Annika; Çetintaş, Ortaç; Çoğal, Muhsin; Sözen, Mustafa; Matur, Ferhat; Nitsche, Andreas; Öktem, İbrahim Mehmet Ali",A novel genetic lineage of Tula orthohantavirus in Altai voles (Microtus obscurus) from Turkey.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",1567-7257 1567-1348,10.1016/j.meegid.2018.11.015,NA,67,Infect Genet Evol,Turkey,eng,Copyright © 2018 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 30465911,NA,NA,NA
59,ft_59,y,Include - Title/Abstract,NA,2Y69WVY7,2021,"Bangura, Umaru; Buanie, Jacob; Lamin, Joyce; Davis, Christopher; Bongo, Gédéon Ngiala; Dawson, Michael; Ansumana, Rashid; Sondufu, Dianah; Thomson, Emma C.; Sahr, Foday; Fichet-Calvet, Elisabeth","Lassa Virus Circulation in Small Mammal Populations in Bo District, Sierra Leone.",Biology,2079-7737,10.3390/biology10010028,1,10,Biology (Basel),Sierra Leone,eng,NA,Place: Switzerland PMID: 33466234 PMCID: PMC7824740,NA,NA,NA
60,ft_60,y,Include - Title/Abstract,NA,FWHMJWS6,2017,"Tian, Huaiyu; Yu, Pengbo; Bjørnstad, Ottar N.; Cazelles, Bernard; Yang, Jing; Tan, Hua; Huang, Shanqian; Cui, Yujun; Dong, Lu; Ma, Chaofeng; Ma, Changan; Zhou, Sen; Laine, Marko; Wu, Xiaoxu; Zhang, Yanyun; Wang, Jingjun; Yang, Ruifu; Stenseth, Nils Chr; Xu, Bing",Anthropogenically driven environmental changes shift the ecological dynamics of hemorrhagic fever with renal syndrome.,PLoS pathogens,1553-7374 1553-7366,10.1371/journal.ppat.1006198,1,13,PLoS Pathog,China,eng,NA,Place: United States PMID: 28141833 PMCID: PMC5302841,NA,NA,NA
61,ft_61,y,Include - Title/Abstract,NA,7TF4JYI8,2021,"Simo Tchetgna, Huguette; Descorps-Declère, Stephane; Selekon, Benjamin; Kwasiborski, Aurelia; Vandenbogaert, Mathias; Manuguerra, Jean-Claude; Gessain, Antoine; Caro, Valérie; Nakouné, Emmanuel; Berthet, Nicolas",Molecular characterization of a new highly divergent Mobala related arenavirus isolated from Praomys sp. rodents.,Scientific reports,2045-2322,10.1038/s41598-021-88046-5,1,11,Sci Rep,Central African Republic,eng,NA,Place: England PMID: 33986310 PMCID: PMC8119949,NA,NA,NA
62,ft_62,y,Include - Title/Abstract,NA,E76S3ENR,2023,"Weidinger, Pia; Kolodziejek, Jolanta; Khafaga, Tamer; Loney, Tom; Howarth, Brigitte; Sher Shah, Moayyed; Abou Tayoun, Ahmad; Alsheikh-Ali, Alawi; Camp, Jeremy V.; Nowotny, Norbert","Potentially Zoonotic Viruses in Wild Rodents, United Arab Emirates, 2019-A Pilot Study.",Viruses,1999-4915,10.3390/v15030695,3,15,Viruses,United Arab Emirates,eng,NA,Place: Switzerland PMID: 36992404 PMCID: PMC10054371,NA,NA,NA
63,ft_63,y,Include - Title/Abstract,NA,6EQFLINC,2020,"Lwande, Olivia Wesula; Mohamed, Nahla; Bucht, Göran; Ahlm, Clas; Olsson, Gert; Evander, Magnus",Seewis hantavirus in common shrew (Sorex araneus) in Sweden.,Virology journal,1743-422X,10.1186/s12985-020-01477-w,1,17,Virol J,Sweden,eng,NA,Place: England PMID: 33375950 PMCID: PMC7770741,NA,NA,NA
64,ft_64,y,Include - Title/Abstract,NA,5KYH9CD3,2022,"Hönig, Václav; Kamiš, Jan; Maršíková, Aneta; Matějková, Tereza; Stopka, Pavel; Mácová, Anna; Růžek, Daniel; Kvičerová, Jana",Orthohantaviruses in Reservoir and Atypical Hosts in the Czech Republic: Spillover Infection and Indication of Virus-Specific Tissue Tropism.,Microbiology spectrum,2165-0497,10.1128/spectrum.01306-22,5,10,Microbiol Spectr,Czechia,eng,NA,Place: United States PMID: 36169417 PMCID: PMC9604079,NA,NA,NA
65,ft_65,y,Include - Title/Abstract,NA,UV883IMF,2023,"Omoga, Dorcus C. A.; Tchouassi, David P.; Venter, Marietjie; Ogola, Edwin O.; Rotich, Gilbert; Muthoni, Joseph N.; Ondifu, Dickens O.; Torto, Baldwyn; Junglen, Sandra; Sang, Rosemary","Divergent Hantavirus in Somali Shrews (Crocidura somalica) in the Semi-Arid North Rift, Kenya.","Pathogens (Basel, Switzerland)",2076-0817,10.3390/pathogens12050685,5,12,Pathogens,Kenya,eng,NA,Place: Switzerland PMID: 37242355 PMCID: PMC10221196,NA,NA,NA
66,ft_66,y,Include - Title/Abstract,NA,8YWP92I6,2016,"Papa, Anna; Rogozi, Elton; Velo, Enkelejda; Papadimitriou, Evangelia; Bino, Silvia","Genetic detection of hantaviruses in rodents, Albania.",Journal of medical virology,1096-9071 0146-6615,10.1002/jmv.24486,8,88,J Med Virol,Albania,eng,"© 2016 Wiley Periodicals, Inc.",Place: United States PMID: 27249068,NA,NA,NA
67,ft_67,y,Include - Title/Abstract,NA,MWVLUE2D,2021,"Schmidt, Sabrina; Reil, Daniela; Jeske, Kathrin; Drewes, Stephan; Rosenfeld, Ulrike M.; Fischer, Stefan; Spierling, Nastasja G.; Labutin, Anton; Heckel, Gerald; Jacob, Jens; Ulrich, Rainer G.; Imholt, Christian",Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations.,Viruses,1999-4915,10.3390/v13061132,6,13,Viruses,Germany,eng,NA,Place: Switzerland PMID: 34208398 PMCID: PMC8231151,NA,NA,NA
68,ft_68,n,Exclude - Full Text,"No data, captive rodents",7KYI78JS,2018,"Kerins, J. L.; Koske, S. E.; Kazmierczak, J.; Austin, C.; Gowdy, K.; Dibernardo, A.","Outbreak of Seoul virus among rats and rat owners - United States and Canada, 2017.",Canada communicable disease report = Releve des maladies transmissibles au Canada,1188-4169 1481-8531,10.14745/ccdr.v44i02a07,2,44,Can Commun Dis Rep,NA,eng,NA,Place: Canada PMID: 29770103 PMCID: PMC5864277,NA,NA,NA
69,ft_69,n,Exclude - Full Text,"No location data, some captive individuals",JXZBIIY7,2023,"Schlohsarczyk, Elfi K.; Drewes, Stephan; Koteja, Paweł; Röhrs, Susanne; Ulrich, Rainer G.; Teifke, Jens P.; Herden, Christiane",Tropism of Puumala orthohantavirus and Endoparasite Coinfection in the Bank Vole Reservoir.,Viruses,1999-4915,10.3390/v15030612,3,15,Viruses,Germany,eng,NA,Place: Switzerland PMID: 36992321 PMCID: PMC10058470,NA,NA,NA
70,ft_70,y,Include - Title/Abstract,Include - Title/Abstract,6W5A7KPV,2019,"Rubio, André V.; Fredes, Fernando; Simonetti, Javier A.",Exotic Pinus radiata Plantations do not Increase Andes Hantavirus Prevalence in Rodents.,EcoHealth,1612-9210 1612-9202,10.1007/s10393-019-01443-1,4,16,Ecohealth,Chile,eng,NA,Place: United States PMID: 31654278,NA,NA,NA
71,ft_71,y,Include - Title/Abstract,NA,XM3UZ6UF,2022,"Geldenhuys, Marike; Weyer, Jacqueline; Kearney, Teresa; Markotter, Wanda",Host-Associated Distribution of Two Novel Mammarenaviruses in Rodents from Southern Africa.,Viruses,1999-4915,10.3390/v15010099,1,15,Viruses,South Africa,eng,NA,Place: Switzerland PMID: 36680139 PMCID: PMC9861163,NA,NA,NA
72,ft_72,y,Include - Title/Abstract,NA,7Q3FXJI8,2019,"Kang, Hae Ji; Gu, Se Hun; Yashina, Liudmila N.; Cook, Joseph A.; Yanagihara, Richard",Highly Divergent Genetic Variants of Soricid-Borne Altai Virus (Hantaviridae) in Eurasia Suggest Ancient Host-Switching Events.,Viruses,1999-4915,10.3390/v11090857,9,11,Viruses,Russia,eng,NA,Place: Switzerland PMID: 31540127 PMCID: PMC6783933,NA,NA,NA
73,ft_73,y,Include - Title/Abstract,NA,VMTABNF6,2021,"Meheretu, Yonas; Granberg, Åsa; Berhane, Gebregiorgis; Khalil, Hussein; Lwande, Olivia Wesula; Mitiku, Mengistu; Welegerima, Kiros; Bellocq, Joëlle Goüy de; Bryja, Josef; Abreha, Hagos; Leirs, Herwig; Ecke, Frauke; Evander, Magnus",Prevalence of Orthohantavirus-Reactive Antibodies in Humans and Peri-Domestic Rodents in Northern Ethiopia.,Viruses,1999-4915,10.3390/v13061054,6,13,Viruses,Ethiopia,eng,NA,Place: Switzerland PMID: 34199600 PMCID: PMC8226976,NA,NA,NA
74,ft_74,y,Include - Title/Abstract,NA,59H7VTAJ,2022,"Goodfellow, Samuel M.; Nofchissey, Robert A.; Ye, Chunyan; Dunnum, Jonathan L.; Cook, Joseph A.; Bradfute, Steven B.",Use of a Novel Detection Tool to Survey Orthohantaviruses in Wild-Caught Rodent Populations.,Viruses,1999-4915,10.3390/v14040682,4,14,Viruses,USA,eng,NA,Place: Switzerland PMID: 35458412 PMCID: PMC9024935,NA,NA,NA
75,ft_75,y,Include - Title/Abstract,NA,UU838YXQ,2021,"Zhao, Teng; Dang, Yun-Qi; Wang, Ao-Nan; Gao, He-Ting; Zhang, Heng-Duan; Xing, Dan; Li, Bo-Qi; Li, Yong-Jiu; Liu, Zhu; Li, Chun-Xiao",Viral Metagenomics Analysis of Rodents From Two Border Provinces Located in Northeast and Southwest China.,Frontiers in microbiology,1664-302X,10.3389/fmicb.2021.701089,NA,12,Front Microbiol,China,eng,"Copyright © 2022 Zhao, Dang, Wang, Gao, Zhang, Xing, Li, Li, Liu and Li.",Place: Switzerland PMID: 35265046 PMCID: PMC8899188,NA,NA,NA
76,ft_76,NA,Include - Title/Abstract,NA,3MVZQTXB,2022,"Susanti, Harimurti Nuradji; Noor, Susan M.; Dharmayanti, N. L. P. Indi; Randusari, Patriantariksina; Shimizu, Kenta; Hirayama, Kazuhiro; Koizumi, Nobuo; Miura, Kozue","Serological Surveillance of Zoonotic Pathogens in Rats in Markets in Bogor, Indonesia.","Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2022.0016,11,22,Vector Borne Zoonotic Dis,Indonesia,eng,NA,Place: United States PMID: 36322894,NA,NA,NA
77,ft_77,y,Include - Title/Abstract,NA,BZABTX3R,2022,"Herrero-Cófreces, Silvia; Mougeot, François; Sironen, Tarja; Meyer, Hermann; Rodríguez-Pastor, Ruth; Luque-Larena, Juan José","Viral Zoonoses in Small Wild Mammals and Detection of Hantavirus, Spain.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid2806.212508,6,28,Emerg Infect Dis,Spain,eng,NA,Place: United States PMID: 35608945 PMCID: PMC9155867,NA,NA,NA
78,ft_78,y,Include - Title/Abstract,NA,U5UN95VW,2017,"Cosseddu, Gian Mario; Sozio, Giulia; Valleriani, Fabrizia; Di Gennaro, Annapia; Pascucci, Ilaria; Gavaudan, Stefano; Marianneau, Philippe; Monaco, Federica",Serological Survey of Hantavirus and Flavivirus Among Wild Rodents in Central Italy.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,t,11,17,Vector Borne Zoonotic Dis,Italy,eng,NA,Place: United States PMID: 28953448,NA,NA,NA
79,ft_79,n,Exclude - Full Text,Data accessed elsewhere,XHZLQDYF,2016,"Douglass, Richard J.; Vadell, María Victoria",How much effort is required to accurately describe the complex ecology of a rodent-borne viral disease?,"Ecosphere (Washington, D.C)",2150-8925,10.1002/ecs2.1368,6,7,Ecosphere,USA,eng,NA,Place: United States PMID: 27398256 PMCID: PMC4930245,NA,NA,NA
80,ft_80,y,Include - Title/Abstract,NA,B7L94LQF,2018,"Fernandes, Jorlan; de Oliveira, Renata Carvalho; Guterres, Alexandro; Barreto-Vieira, Débora Ferreira; Terças, Ana Claudia Pereira; Teixeira, Bernardo Rodrigues; da Silva, Marcos Alexandre Nunes; Caldas, Gabriela Cardoso; de Oliveira Coelho, Janice Mery Chicarino; Barth, Ortrud Monika; D'Andrea, Paulo Sergio; Bonvicino, Cibele Rodrigues; de Lemos, Elba Regina Sampaio",Detection of Latino virus (Arenaviridae: Mammarenavirus) naturally infecting Calomys callidus.,Acta tropica,1873-6254 0001-706X,10.1016/j.actatropica.2017.12.003,NA,179,Acta Trop,Brazil,eng,Copyright © 2017 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 29217383,NA,NA,NA
81,ft_81,NA,Include - Title/Abstract,NA,TLB6UFU8,2021,"Wang, Nina; Yang, Lichao; Li, Guohui; Zhang, Xu; Shao, Jianwei; Ma, Jun; Chen, Shouyi; Liu, Quan","Molecular detection and genetic characterization of Wenzhou virus in rodents in Guangzhou, China.",BMC veterinary research,1746-6148,10.1186/s12917-021-03009-2,1,17,BMC Vet Res,China,eng,© 2021. The Author(s).,Place: England PMID: 34496846 PMCID: PMC8424800,NA,NA,NA
82,ft_82,NA,Include - Title/Abstract,NA,3HQIYC78,2020,"Danforth, Mary E.; Messenger, Sharon; Buttke, Danielle; Weinburke, Matthew; Carroll, George; Hacker, Gregory; Niemela, Michael; Andrews, Elizabeth S.; Jackson, Bryan T.; Kramer, Vicki; Novak, Mark","Long-Term Rodent Surveillance after Outbreak of Hantavirus Infection, Yosemite National Park, California, USA, 2012.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid2603.191307,3,26,Emerg Infect Dis,USA,eng,NA,Place: United States PMID: 32091360 PMCID: PMC7045852,NA,NA,NA
83,ft_83,NA,Include - Title/Abstract,NA,TFEP6JHH,2020,"Demchyshyna, Iryna V.; Glass, Gregory E.; Hluzd, Oleksandra A.; Kutseva, Vira V.; Taylor, Mariah K.; Williams, Evan P.; Kurpita, Volodymyr; Jonsson, Colleen B.",Cocirculation of Two Orthohantavirus Species in Small Mammals of the Northwestern Ukraine.,Journal of wildlife diseases,1943-3700 0090-3558,10.7589/2019-09-238,3,56,J Wildl Dis,Ukraine,eng,NA,Place: United States PMID: 31917639,NA,NA,NA
84,ft_84,NA,Exclude - Full Text,"No data, no rodents",VAIM226Z,2020,"Wang, Qiuwei; Yue, Ming; Yao, Pingping; Zhu, Changqiang; Ai, Lele; Hu, Dan; Zhang, Bin; Yang, Zhangnv; Yang, Xiaohong; Luo, Fan; Wang, Chunhui; Hou, Wei; Tan, Weilong","Epidemic Trend and Molecular Evolution of HV Family in the Main Hantavirus Epidemic Areas From 2004 to 2016, in P.R. China.",Frontiers in cellular and infection microbiology,2235-2988,10.3389/fcimb.2020.584814,NA,10,Front Cell Infect Microbiol,NA,eng,"Copyright © 2021 Wang, Yue, Yao, Zhu, Ai, Hu, Zhang, Yang, Yang, Luo, Wang, Hou and Tan.",Place: Switzerland PMID: 33614521 PMCID: PMC7886990,NA,NA,NA
85,ft_85,NA,Include - Title/Abstract,NA,S4XZBGFG,2017,"Mariën, Joachim; Borremans, Benny; Gryseels, Sophie; Soropogui, Barré; De Bruyn, Luc; Bongo, Gédéon Ngiala; Becker-Ziaja, Beate; de Bellocq, Joëlle Goüy; Günther, Stephan; Magassouba, N'Faly; Leirs, Herwig; Fichet-Calvet, Elisabeth","No measurable adverse effects of Lassa, Morogoro and Gairo arenaviruses on their rodent reservoir host in natural conditions.",Parasites & vectors,1756-3305,10.1186/s13071-017-2146-0,1,10,Parasit Vectors,"Guinea, Tanzania",eng,NA,Place: England PMID: 28449693 PMCID: PMC5408478,NA,NA,NA
86,ft_86,NA,Include - Title/Abstract,NA,NTK46I76,2017,"Thomason, Anna G.; Begon, Michael; Bradley, Janette E.; Paterson, Steve; Jackson, Joseph A.","Endemic Hantavirus in Field Voles, Northern England.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid2306.161607,6,23,Emerg Infect Dis,UK,eng,NA,Place: United States PMID: 28518021 PMCID: PMC5443433,NA,NA,NA
87,ft_87,NA,Include - Title/Abstract,NA,WT4ZNB7R,2021,"Ushijima, Yuri; Abe, Haruka; Ozeki, Takehiro; Ondo, Georgelin N.; Mbadinga, Marien J. V. M.; Bikangui, Rodrigue; Nze-Nkogue, Chimène; Akomo-Okoue, Etienne F.; Ella, Ghislain W. E.; Koumba, Lilian B. M.; Nso, Branly C. B. B.; Mintsa-Nguema, Rodrigue; Makouloutou-Nzassi, Patrice; Makanga, Boris K.; Nguelet, Fred L. M.; Zadeh, Vahid R.; Urata, Shuzo; Mbouna, Armel V. N.; Massinga-Loembe, Marguerite; Agnandji, Selidji T.; Lell, Bertrand; Yasuda, Jiro","Identification of potential novel hosts and the risk of infection with lymphocytic choriomeningitis virus in humans in Gabon, Central Africa.",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,1878-3511 1201-9712,10.1016/j.ijid.2021.02.105,NA,105,Int J Infect Dis,Gabon,eng,Copyright © 2021 The Author(s). Published by Elsevier Ltd.. All rights reserved.,Place: Canada PMID: 33667697,NA,NA,NA
88,ft_88,NA,Include - Title/Abstract,NA,EULCBUDV,2016,"Filippone, Claudia; Castel, Guillaume; Murri, Séverine; Beaulieux, Frédérik; Ermonval, Myriam; Jallet, Corinne; Wise, Emma L.; Ellis, Richard J.; Marston, Denise A.; McElhinney, Lorraine M.; Fooks, Anthony R.; Desvars, Amélie; Halos, Lénaı G.; Vourc'h, Gwenaël; Marianneau, Philippe; Tordo, Noël","Discovery of hantavirus circulating among Rattus rattus in French Mayotte island, Indian Ocean.",The Journal of general virology,1465-2099 0022-1317,10.1099/jgv.0.000440,5,97,J Gen Virol,"La Reunion, Mayotte",eng,NA,Place: England PMID: 26932442 PMCID: PMC4851257,NA,NA,NA
89,ft_89,NA,Include - Title/Abstract,NA,NMYM2KK2,2020,"Mariën, Joachim; Borremans, Benny; Verhaeren, Christophe; Kirkpatrick, Lucinda; Gryseels, Sophie; Goüy de Bellocq, Joëlle; Günther, Stephan; Sabuni, Christopher A.; Massawe, Apia W.; Reijniers, Jonas; Leirs, Herwig",Density dependence and persistence of Morogoro arenavirus transmission in a fluctuating population of its reservoir host.,The Journal of animal ecology,1365-2656 0021-8790,10.1111/1365-2656.13107,2,89,J Anim Ecol,Tanzania,eng,© 2019 The Authors. Journal of Animal Ecology © 2019 British Ecological Society.,Place: England PMID: 31545505,NA,NA,NA
